TOPIC,SENTIMENT SCORE,QA SCORE
bass,0.016710980033472805,0.25553709678242675
battery,0.062412752291262134,0.26106643508252425
call,0.20062225007035178,0.26933277015075374
case,0.14214977270370371,0.07840856481481483
charge,-0.041738055999999996,0.17745580995192306
connect,-0.024886820333333348,0.14606660266666668
connectivity,0.21088346442657344,0.17440435241258742
design,0.3316262073684211,0.17002433707894737
device,0.37810719515999996,0.24714105012
ear,-0.05273298349700599,0.1445993610479042
ear bud,-0.07908884047079037,0.21767791937800687
ear phone,-0.1268672178730159,0.1837326725079365
experience,0.135367871,0.19030486900000002
feature,0.059738968499999996,0.15600611392857142
fit,0.06982479566666668,0.2235446814019608
heavy,0.00038763179999998785,0.0232426032
mi,0.056645259373333326,0.15618660435999998
mic,0.2016504965,0.534130578
music,0.26609740539473686,0.2220758480263158
noise cancellation,0.12445836308849557,0.2724223976814159
option,0.08688738666666666,0.07511552891666666
other brands,0.567593303,0.04973805033333333
person,0.25272319186666664,0.07589668946666667
phone,0.20578134622580646,0.07277509632258064
price,0.002450681199186992,0.2792342820121951
quality,0.1997540867261905,0.2850171671468254
review,0.007498752894736842,0.04148192163157895
side,-0.38496311714285714,0.1764158025
sound,0.37780621375,0.2682794196
sound quality,0.45398091548708486,0.3039813241780443
tws,0.4001671695789474,0.21998429463157895
vocal,-0.0939919285483871,0.16855618632258065
volume,-0.08332949226315789,0.1622822235789474
